Date,Open,High,Low,Close,Adj Close,Volume
2014-04-15,504.235,513.9,452,505,505,"21,013.58477364"
2014-04-16,537.5,547,495,538,538,"29,633.35870494"
2014-04-17,507.02,538.5,486.1,508,508,"20,709.78381878"
2014-04-18,483.769999995,509,474.25,482.75,482.75,"10,458.04524302"
2014-04-19,505.010650005,513.9899,473.83,507.4999,507.4999,"8,963.61836876"
2014-04-20,500.74575302,517.995,492.2,501.44,501.44,"4,921.58880292"
2014-04-21,497.09,515.646,485,497,497,"8,132.14445276"
2014-04-22,491.300003,506,488.8,491.2,491.2,"3,105.51610462"
2014-04-23,490.8195,496,482.88,490.03,490.03,"4,716.70343344"
2014-04-24,497.49,498.8396,480.16,497.98,497.98,"4,316.10888792"
2014-04-25,464.8725,504.96,441.3,463.79,463.79,"30,376.94788186"
2014-04-26,458.299999995,469.19,449.8001,457.6,457.6,"8,578.83710701"
2014-04-27,445.705,465.6,440,445,445,"5,959.68643819"
2014-04-28,445.45,450,423.11,445.4,445.4,"16,467.53130922"
2014-04-29,446.275049995,454,434,445.54,445.54,"8,521.43859896"
2014-04-30,449.365,453.6,432,449.37,449.37,"6,877.39830055"
2014-05-01,459.595000005,463.53,446.99,460.1,460.1,"5,339.53329383"
2014-05-02,449.655,461.6699,443,449.85,449.85,"3,298.96319935"
2014-05-03,440.84,455,430,441.3,441.3,"7,611.47006928"
2014-05-04,436.54995,441.9497,429,436.4,436.4,"4,157.14664733"
2014-05-05,431.49345,444.4,425.5999,430.75,430.75,"5,940.59410108"
2014-05-06,430.199950005,435.39,419.4,430.8999,430.8999,"6,980.2324729"
2014-05-07,445.86,453.6,424.2487,446,446,"10,468.4756149"
2014-05-08,442.745,450.59,438.6,442,442,"4,046.40349389"
2014-05-10,455.1,457,448.2,455,455,"2,438.11755196"
2014-05-11,436.83,459.65,430,436.85,436.85,"11,882.2911866"
2014-05-12,439.405,442,431.8,439.41,439.41,"3,454.20464119"
2014-05-13,438.405,442,434.01,437.82,437.82,"1,913.68704695"
2014-05-14,447.2,448,437.81,447,447,"3,086.76747442"
2014-05-15,446.685,451.4,442.51,446.97,446.97,"1,892.63952812"
2014-05-16,448.425,453,443.4,448.5,448.5,"1,733.4409494"
2014-05-17,448.25,450,446.83,448.4,448.4,865.2472325
2014-05-18,446.66,449.47,445.5,447.2,447.2,807.03579379
2014-05-19,446.97,448.5,444.1,447,447,"1,443.93220666"
2014-05-20,488.515,498.68,446,488.44,488.44,"20,374.43736828"
2014-05-21,494.48,501,488.44,494,494,"7,951.45108755"
2014-05-22,526.75,524.79,492.2,527,527,"15,780.67795485"
2014-05-23,528.295,544.78,521.11,528,528,"17,443.82076007"
2014-05-24,527.3,531,514.25,526.9,526.9,"5,328.42091263"
2014-05-26,583.56,593.3,564.25,584.2,584.2,"17,132.59465034"
2014-05-27,577.75,597.3,551,577.2,577.2,"17,450.00955834"
2014-05-28,573.45,583.5,565,573.32,573.32,"7,453.24504819"
2014-05-29,571.24,583,563,572.48,572.48,"8,675.43706579"
2014-05-30,625.555,630,568.6,625.11,625.11,"21,784.15480396"
2014-05-31,625.375,627.89,610.02,625,625,"8,828.84293351"
2014-06-01,646.495,680,618.01,646,646,"32,415.08933535"
2014-06-03,663.995,679.8,615,664.95,664.95,"21,588.40596219"
2014-06-04,645.385,675,620,645,645,"27,332.78698244"
2014-06-05,661.5,672,641,662.7,662.7,"10,288.63185659"
2014-06-06,652.2,664.94,650,652.5,652.5,"5,682.52651655"
2014-06-07,656.285,659.4,637.01,656.7,656.7,"6,842.36630776"
2014-06-08,657.71,664.5,652.5,657.84,657.84,"3,379.20817551"
2014-06-09,649.295,661.99,639.06,650.49,650.49,"7,011.29651957"
2014-06-10,657.035,672,646,657.14,657.14,"6,969.64373999"
2014-06-11,637.02,666.5,640.44,637.8,637.8,"8,738.67268702"
2014-06-12,590.665,647,582,591.26,591.26,"21,641.97176044"
2014-06-13,604.365,620.97,575.2,604.53,604.53,"24,024.43113826"
2014-06-14,563.96,606.98,522.15,564.79,564.79,"23,839.29399904"
2014-06-15,570.77,588,540,570.08,570.08,"13,453.32158315"
2014-06-16,600.125,612,570.74,599.61,599.61,"16,666.66257534"
2014-06-17,613.8,619,591.09,613.3,613.3,"8,406.68388816"
2014-06-18,606.6,619.6,601.5,606.4,606.4,"6,929.02546807"
